Puerto Rico		1659
Kangaroo Island Council	Kangaroo Island	641
George Town Council	George Town	283
North Ayrshire	Arran, Island of (North Ayrshire)	93
Manche		418
Finistère		269
Bouches-du-Rhône		243
Pyrénées-Atlantiques		226
Calvados		201
Pyrénées-Orientales		195
Queenscliffe Borough		177
Alpes-Maritimes		155
Smith's		138
Torbay		125
City of Cockburn		118
Cagayan		114
Leipzig		109
Karlsruhe		106
Ma'Oputasi		102
Oriental Mindoro		97
Las Palmas		96
Dresden		95
Siquijor		92
Eastern Samar		87
Hurghada		87
Santa Cruz de Tenerife		81
Ille-et-Vilaine		79
Biliran		75
Bataan		71
La Union		71
Cebu		70
Greater Geelong City		70
Ifalik		69
Tutakimoa Tapere		69
Tubores		66
Surigao del Sur		65
Guaymas		62
Malindi		62
New Georgia Group		61
Alexandrina Council		60
Frederikshavn Municipality		58
Concepcion		57
Valparaiso		57
Tromsø		56
County Donegal		54
Isle of Anglesey		53
Tasman Council		52
Batanes		51
Miami Dade		51
Øygarden		49
Vila Propício		49
Pangandaran		48
Central Highlands Council		47
Litchfield		47
Zamboanga Sibugay		46
City of Rockingham		44
Cape Town		43
Clare		42
Aklan		41
Bantul		40
Broward		40
Laguna		40
Samar		40
Sucre		40
City of Victor Harbor		39
Sarasota		39
Noosa Shire		38
Antolín del Campo		37
Macanao		37
Onslow		37
Southland District		37
Warringah Council		37
Galle		36
Seine-Maritime		36
Yorke Peninsula Council		36
Negros Occidental		35
Región de Magallanes y de la Antártica Chilena		34
Pingtung		33
San Antonio		33
District Council of Robe		32
Carroll		31
Moreton Bay Regional		31
Bass Coast Shire		30
Marcano		30
Freiburg		29
Huon Valley Council		29
Keith		29
Mandal		29
Martin		29
Hudson		28
Whitsunday Regional		28
Askøy		27
Côtes-d'Armor		27
Dorset Council		27
Florida Islands		27
Cardenal Caro		26
Gaga'emauga		26
Gold Coast City		26
Ituau		26
Randwick City Council		26
Ramsey		25
The Council of the Municipality of Kiama		25
Bocas del Toro		24
Drew		24
West Sussex		24
Escalante		23
Hardee		23
Maine-et-Loire		23
New Hanover		23
Var		23
Bergen		22
Durban Metro		22
Edinburgh		22
Glamorgan-Spring Bay Council		22
Highland		22
Nordkapp		22
Ubatuba		22
Batangas		21
Gironde		21
Måsøy		21
Mayo		21
Muncipio Autónomo Silva		21
Talismã		21
Tawi-Tawi		21
Brooklyn		20
City of Busselton		20
Hernando		20
Mitchell Shire		20
Zamora		20
Break O'Day Council		19
Cascade		19
El Tor		19
Shire of Augusta-Margaret River		19
Torres Shire		19
Chiloe		18
Division No. 1		18
Isla de Pascua		18
Loire-Atlantique		18
Manatee		18
Mornington Peninsula Shire		18
Chemnitz		17
City of Onkaparinga		17
Hlavní město Praha		17
Kenai Peninsula Borough		17
Pittwater Council		17
Richmond		17
Valdez-Cordova		17
Wakulla		17
Zamboanga del Norte		17
Al Qoseir		16
Antique		16
Elqui		16
Guánica		16
Kingborough Council		16
Kota Batam		16
Kristiansund		16
Kusini		16
Nordfyns		16
Sandøy		16
Torres Strait Island Regional		16
Baden		15
Bayside City		15
City of Greater Geraldton		15
Colombo		15
District Council of Elliston		15
North Down		15
Ontario		15
Rio de Janeiro		15
Skåne		15
Takuvaine Tapere		15
Town of Cottesloe		15
Dun Laoghaire-Rathdown		14
East Arnhem Shire		14
Gamvik		14
Hérault		14
Kvam		14
Levy		14
North Slope		14
Pas-de-Calais		14
Queens		14
Recife		14
Santa Maria		14
Shire of Shark Bay		14
Yvelines		14
Zürich		14
Alta		13
Coles		13
Galway City		13
Isles of Scilly		13
Kinondoni		13
Matinhos		13
Morbihan		13
North Sydney Council		13
North Yorkshire		13
Oberbayern		13
Colón		12
Formoso		12
Hjørring Municipality		12
Mulege		12
Municipio Maneiro		12
Newry and Mourne		12
Port Elizabeth		12
Port Louis		12
Saint Thomas		12
Shire of Irwin		12
Bermúdez		11
Bronx		11
Christiansted		11
Falcón		11
Haugesund		11
Kalundborg Municipality		11
Karachi		11
Keelung City		11
Lee		11
Meland		11
Niagara		11
Sutherland Shire Council		11
Townsville City		11
Wabasha		11
West-Vlaanderen		11
Wrocław		11
Wyndham City		11
Antartica Chilena		10
Bab Sharqi		10
Corse-du-Sud		10
Dahlak		10
Eurobodalla Shire Council		10
Halland		10
Larne		10
Leyte		10
Mittelfranken		10
Norddjurs Municipality		10
Odsherred Municipality		10
Orleans		10
Shoalhaven City Council		10
Sorsogon		10
Tangerang		10
Amatole		9
Bohol		9
Centre		9
City of Fremantle		9
Cozumel		9
Dawson		9
French-Elizabeth-Sandstone Islands (Unincorporated)		9
Ilha de Mocambique		9
Lalawigan ng Negros Oriental		9
Landes		9
Lindesnes		9
Livingstone Shire		9
Llanquihue		9
Metro Manila		9
Saint John		9
Stuttgart		9
Uppsala		9
Waverley Council		9
Westchester		9
Ynys Môn		9
Blekinge		8
Charente-Maritime		8
Cihuatlán		8
Comuna 1		8
Cruz Salmerón Acosta		8
District Council of Kingston		8
Division No. 2		8
Division No. 9		8
Douglas Shire		8
Finström		8
Fitjar		8
Hermosillo		8
Jennings		8
Madang		8
Middelfart Municipality		8
Paris		8
Sa'Ole		8
Serua		8
Shire of Northampton		8
Slagelse Municipality		8
Tübingen		8
Victoria		8
West Tamar Council		8
Basilan		7
Brunswick		7
Cork		7
County Durham		7
Crawford		7
Díaz		7
Fernando de Noronha		7
Florentino Ameghino		7
Frogn		7
Garden		7
Gillespie		7
Herøy		7
Jose Santos Guardiola		7
Karlovy Vary District		7
Kota Dumai		7
La Libertad		7
Langeland Municipality		7
Manzanillo		7
Mazatlán		7
Monseñor Iturriza		7
Montijo		7
Moroni		7
Northwest		7
Oswego		7
Panamá		7
Rhône		7
San Andrés		7
Trondheim		7
Uribia		7
Vardø		7
Aberdeen City		6
Armação dos Búzios		6
Asturias		6
Badhan		6
Brisbane City		6
Cádiz		6
Cairns Regional		6
Cantabria		6
Cidade de Xai-Xai		6
City of Holdfast Bay		6
Colac Otway Shire		6
Cook Shire		6
Council of the City of Sydney		6
Division No. 3		6
Grundy		6
Gwynedd		6
Helsingør Municipality		6
Illes Balears		6
Jönköping		6
Konak		6
Loppa		6
Mödling		6
Mürzzuschlag		6
Nadroga-Navosa		6
North Uthungulu		6
Northcentral		6
Ørland		6
Peñuelas		6
Port Stephens Council		6
Porto Alegre		6
Rabat		6
Rockdale City Council		6
Sagadahoc		6
Salina Cruz		6
Sønderborg Municipality		6
Stockholm		6
Sukabumi		6
Thành phố Nha Trang		6
Ushuaia		6
Viñales		6
West Yorkshire		6
Whangarei District		6
Xai-Xai		6
Aleutians East		5
Aleutsky		5
Anne Arundel		5
Arica		5
Arthur		5
Aurora		5
Aysen		5
Balsfjord		5
Barry		5
Bolívar		5
Brión		5
Camiguin		5
Chaves		5
Citrus		5
City of Subiaco		5
Comondu		5
Dent		5
Diana		5
District Council of Grant		5
District Council of Streaky Bay		5
Dovre		5
Eigersund		5
Essaouira		5
General Pueyrredon		5
Glenelg Shire		5
Goes		5
Hobart City Council		5
Hualien		5
Kalawao		5
Locarno		5
Mackay Regional		5
Matutuíne		5
mikołowski		5
Mosman Municipal Council		5
Nicollet		5
Nosy-Be		5
Opole		5
Outer Hebrides		5
Palerang Council		5
Petatlán		5
Piscataquis		5
Porsanger		5
Progreso		5
Rissa		5
Santiago de Cuba		5
Saunders		5
Seine-et-Marne		5
South Gippsland Shire		5
St. Lucie		5
Surf Coast Shire		5
Swansea		5
The City of Brighton and Hove		5
Urban		5
Utsira		5
Waldo		5
Walworth		5
Yakutat		5
Abou Sedr		4
Bega Valley Shire Council		4
Bornholm		4
Buffalo		4
Capital		4
Cavite		4
Cayuga		4
Charlotte		4
Cherry		4
Choapa		4
City of Bunbury		4
City of Joondalup		4
City of West Torrens		4
Clarence City Council		4
Comuna 15		4
Copiapo		4
Crook		4
Cumbria		4
Darmstadt		4
Deer Lodge		4
Dhaalu Atoll		4
Dundy		4
Flagler		4
Garraway		4
Gdańsk		4
Gladstone Regional		4
Gribskov Municipality		4
Guediawaye		4
Halmstad		4
Hobsons Bay City		4
Imst		4
Inharrime		4
Kandiyohi		4
Kerry		4
King Island Council		4
La Coruña		4
Laesø		4
Le Locle		4
Lebesby		4
Liezen		4
Lolland Municipality		4
Los Chiles		4
Macomb		4
Madeira		4
Maracaibo		4
Massawa		4
Melk		4
Misamis Occidental		4
Nantou		4
Norrbotten		4
Nuevitas		4
Oakland		4
Oxford		4
Ozark		4
Pontevedra		4
Province de Berkane		4
Radøy		4
Reggio Calabria		4
Romblon		4
S.Miguel		4
Saint Louis		4
Sankt Gallen		4
Sankt Pölten-Land		4
São Sebastião		4
Schwaben		4
Scotts Bluff		4
Sion Farm		4
strzeliński		4
Suffolk.		4
Thisted Municipality		4
Val-de-Marne		4
Vega		4
Woollahra Municipal Council		4
Xhariep		4
Yilan		4
Aalborg Municipality		3
Anivskiy		3
Argyll and Bute		3
Baldwin		3
Boca del Río		3
Borås		3
Carthage		3
